Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB1570	1891969.3	Public Database	Anopheles sinensis	None	Acinetobacter sp. AR2-3	GCF_001878775.1	Pseudomonadota	Moraxellales	Acinetobacter	Acinetobacter sp. AR2-3	f__Moraxellaceae (UID4680)	86	689	99.66	0.09	0	99.21	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_G	p__Pseudomonadota	GCA_013530545.1	96.18	97.58	GCA_013530545.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1571	1891970.3	Public Database	Anopheles sinensis	None	Microbacterium sp. AR7-10	GCF_001878835.1	Actinomycetota	Micrococcales	Microbacterium	Microbacterium sp. AR7-10	o__Actinomycetales (UID1593)	69	400	97.81	0	0	97.81	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium commune	p__Actinomycetota	GCF_014836945.1	95	98.72	GCF_014836945.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1572	1898104.296	Public Database	Termes hospes	None	Bacteroidetes bacterium strain Th196P3bin14	GCA_009777815.1	Bacteroidota	None	None	Bacteroidetes bacterium strain Th196P3bin14	k__Bacteria (UID2570)	433	273	68.83	0	0	68.83	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__WRLB01;s__WRLB01 sp009777815	p__Bacteroidota	GCA_009777815.1	95	100	GCA_009777815.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1573	1898104.297	Public Database	Neocapritermes taracua	None	Bacteroidetes bacterium strain Nt197P4bin17	GCA_009778375.1	Bacteroidota	None	None	Bacteroidetes bacterium strain Nt197P4bin17	p__Bacteroidetes (UID2605)	350	316	69.87	1.43	0	62.72	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__WRBG01;s__WRBG01 sp009778375	p__Bacteroidota	GCA_009778375.1	95	100	GCA_009778375.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1574	1898105.7	Public Database	Embiratermes neotenicus	None	Paludibacter sp. strain Emb289P4bin3	GCA_009781075.1	Bacteroidota	Bacteroidales	Paludibacter	Paludibacter sp. strain Emb289P4bin3	k__Bacteria (UID2569)	434	278	94.09	1.08	0	88.69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__WRGS01;s__WRGS01 sp009781075	p__Bacteroidota	GCA_009781075.1	95	100	GCA_009781075.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1575	1898203.184	Public Database	Termes hospes	None	Lachnospiraceae bacterium strain Th196P3bin150	GCA_009777715.1	Bacillota	Lachnospirales	None	Lachnospiraceae bacterium strain Th196P3bin150	f__Lachnospiraceae (UID1255)	90	354	90.36	2.61	0	77.31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA935;s__UBA935 sp009777715	p__Bacillota_A	GCA_009777715.1	95	99.99	GCA_009777715.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1576	1898203.184	Public Database	Labiotermes labralis	None	Lachnospiraceae bacterium strain Lab288P1bin6	GCA_009779895.1	Bacillota	Lachnospirales	None	Lachnospiraceae bacterium strain Lab288P1bin6	f__Lachnospiraceae (UID1256)	33	333	86.41	0.58	0	83.51	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__WRBB01;s__WRBB01 sp009779895	p__Bacillota_A	GCA_009779895.1	95	100	GCA_009779895.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1577	1898203.184	Public Database	Labiotermes labralis	None	Lachnospiraceae bacterium strain Lab288P1bin41	GCA_009780115.1	Bacillota	Lachnospirales	None	Lachnospiraceae bacterium strain Lab288P1bin41	f__Lachnospiraceae (UID1255)	90	354	91.28	2.87	0	76.93	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA935;s__UBA935 sp009780115	p__Bacillota_A	GCA_009780115.1	95	100	GCA_009780115.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1578	1898203.184	Public Database	Cornitermes sp.	None	Lachnospiraceae bacterium strain Co191P3bin20	GCA_009787745.1	Bacillota	Lachnospirales	None	Lachnospiraceae bacterium strain Co191P3bin20	f__Lachnospiraceae (UID1255)	90	354	81.18	2.24	66.67	69.98	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA935;s__UBA935 sp009787745	p__Bacillota_A	GCA_009787745.1	95	100	GCA_009787745.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1579	1898205.348	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin54	GCA_009776305.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin54	o__Clostridiales (UID1212)	172	263	74.16	0	0	74.16	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009776305	p__Bacillota_A	GCA_009776305.1	95	100	GCA_009776305.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1580	1898205.348	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P4bin93	GCA_009776335.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P4bin93	k__Bacteria (UID203)	5449	104	55.25	0	0	55.25	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1581	1898205.348	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin36	GCA_009776345.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin36	o__Clostridiales (UID1212)	172	263	83.81	2.35	0	72.06	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRAV01;s__WRAV01 sp009776345	p__Bacillota_A	GCA_009776345.1	95	100	GCA_009776345.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1582	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P4bin59	GCA_009776445.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P4bin59	o__Clostridiales (UID1212)	172	263	90.16	7.72	80	51.56	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009776445	p__Bacillota_A	GCA_009776445.1	95	100	GCA_009776445.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1583	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P4bin57	GCA_009776455.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P4bin57	o__Clostridiales (UID1120)	304	250	61.83	4.7	0	38.33	d__Bacteria;p__Bacillota_A;c__Clostridia;o__WRLR01;f__WRLR01;g__;s__	p__Bacillota_A	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB1584	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P4bin40	GCA_009776605.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P4bin40	o__Clostridiales (UID1212)	172	263	67.2	6.42	92.31	35.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__WRJC01;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1585	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P4bin1	GCA_009776905.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P4bin1	o__Clostridiales (UID1212)	172	263	86.02	0.89	100	81.57	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009776905	p__Bacillota_A	GCA_009776905.1	95	100	GCA_009776905.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1586	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin85	GCA_009777055.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin85	o__Clostridiales (UID1212)	172	263	92.58	1.34	50	85.88	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__WRMQ01;s__WRMQ01 sp009777055	p__Bacillota_A	GCA_009777055.1	95	100	GCA_009777055.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1587	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin82	GCA_009777075.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin82	o__Clostridiales (UID1212)	172	263	50.91	0.67	0	47.56	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__;s__	p__Bacillota_A	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB1588	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin75	GCA_009777155.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin75	o__Clostridiales (UID1212)	172	263	89.93	1.48	25	82.53	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009777155	p__Bacillota_A	GCA_009777155.1	95	100	GCA_009777155.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1589	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin66	GCA_009777275.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin66	o__Clostridiales (UID1212)	172	263	76.91	1.68	0	68.51	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRME01;s__WRME01 sp009777275	p__Bacillota_A	GCA_009777275.1	95	100	GCA_009777275.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1590	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin70	GCA_009777235.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin70	o__Clostridiales (UID1212)	172	263	90.44	1.34	50	83.74	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009777235	p__Bacillota_A	GCA_009777235.1	95	100	GCA_009777235.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1591	1898205.349	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin69	GCA_009777255.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin69	o__Clostridiales (UID1212)	172	263	64.65	0.67	100	61.3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__WRMG01;s__WRMG01 sp009777255	p__Bacillota_A	GCA_009777255.1	95	100	GCA_009777255.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1592	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin6	GCA_009777355.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin6	o__Clostridiales (UID1212)	172	263	84.56	1.14	0	78.86	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__WRJC01;s__WRJC01 sp009777355	p__Bacillota_A	GCA_009777355.1	95	100	GCA_009777355.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1593	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin48	GCA_009777415.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin48	o__Clostridiales (UID1212)	172	263	75.78	0	0	75.78	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009777415	p__Bacillota_A	GCA_009777415.1	95	100	GCA_009777415.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1594	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin47	GCA_009777435.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin47	o__Clostridiales (UID1212)	172	263	74.05	0.67	0	70.7	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__WRMG01;s__WRMG01 sp009777435	p__Bacillota_A	GCA_009777435.1	95	100	GCA_009777435.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1595	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin40	GCA_009777475.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin40	o__Clostridiales (UID1212)	172	263	92.62	0.67	0	89.27	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__UBA929;s__UBA929 sp009777475	p__Bacillota_A	GCA_009777475.1	95	100	GCA_009777475.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1596	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin43	GCA_009777445.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin43	o__Clostridiales (UID1212)	172	263	81.1	0	0	81.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009777445	p__Bacillota_A	GCA_009777445.1	95	100	GCA_009777445.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1597	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin33	GCA_009777515.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin33	o__Clostridiales (UID1120)	304	250	90.5	6.29	36.36	59.05	d__Bacteria;p__Bacillota_A;c__Clostridia;o__WRLR01;f__WRLR01;g__WRLR01;s__WRLR01 sp009777515	p__Bacillota_A	GCA_009777515.1	95	100	GCA_009777515.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1598	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin32	GCA_009777525.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin32	o__Clostridiales (UID1212)	172	263	52.62	0.84	50	48.42	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRAV01;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1599	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin18	GCA_009777635.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin18	o__Clostridiales (UID1212)	172	263	96.64	2.35	50	84.89	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRAV01;s__WRAV01 sp009777635	p__Bacillota_A	GCA_009777635.1	95	100	GCA_009777635.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1600	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin17	GCA_009777685.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin17	o__Clostridiales (UID1212)	172	263	77.37	2.35	25	65.62	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__WRLJ01;s__WRLJ01 sp009777685	p__Bacillota_A	GCA_009777685.1	95	100	GCA_009777685.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1601	1898205.35	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin149	GCA_009777725.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin149	o__Clostridiales (UID1212)	172	263	94.63	1.34	0	87.93	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA946;s__UBA946 sp009777725	p__Bacillota_A	GCA_009777725.1	95	99.99	GCA_009777725.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1602	1898205.351	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin147	GCA_009777775.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin147	o__Clostridiales (UID1212)	172	263	94.3	0.34	0	92.6	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009777775	p__Bacillota_A	GCA_009777775.1	95	100	GCA_009777775.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1603	1898205.351	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin137	GCA_009777835.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin137	o__Clostridiales (UID1212)	172	263	91.28	2.01	0	81.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009777835	p__Bacillota_A	GCA_009777835.1	95	100	GCA_009777835.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1604	1898205.351	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin135	GCA_009777895.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin135	o__Clostridiales (UID1212)	172	263	82.73	0.69	0	79.28	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__WRKY01;s__WRKY01 sp009777895	p__Bacillota_A	GCA_009777895.1	95	100	GCA_009777895.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1605	1898205.351	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin104	GCA_009778065.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin104	o__Clostridiales (UID1212)	172	263	94.3	0.67	0	90.95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009778065	p__Bacillota_A	GCA_009778065.1	95	100	GCA_009778065.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1606	1898205.351	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin102	GCA_009778115.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin102	o__Clostridiales (UID1212)	172	263	71.81	0.67	0	68.46	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRME01;s__WRME01 sp009778115	p__Bacillota_A	GCA_009778115.1	95	100	GCA_009778115.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1607	1898205.351	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin94	GCA_009778485.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin94	o__Clostridiales (UID1212)	172	263	58.18	0.34	0	56.48	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009778485	p__Bacillota_A	GCA_009778485.1	95	100	GCA_009778485.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1608	1898205.351	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin88	GCA_009778605.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin88	o__Clostridiales (UID1212)	172	263	79.14	1.48	0	71.74	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009778605	p__Bacillota_A	GCA_009778605.1	95	100	GCA_009778605.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1609	1898205.351	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P4bin87	GCA_009778695.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P4bin87	o__Clostridiales (UID1212)	172	263	69.9	2.68	0	56.5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__WRFS01;s__WRFS01 sp009778695	p__Bacillota_A	GCA_009778695.1	95	100	GCA_009778695.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1610	1898205.351	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin93	GCA_009779295.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin93	o__Clostridiales (UID1212)	172	263	74.38	1.01	50	69.33	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__WREN01;s__WREN01 sp009779295	p__Bacillota_A	GCA_009779295.1	95	100	GCA_009779295.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1611	1898205.351	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin47	GCA_009779495.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin47	o__Clostridiales (UID1212)	172	263	87.88	0	0	87.88	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1425;s__UBA1425 sp009779495	p__Bacillota_A	GCA_009779495.1	95	100	GCA_009779495.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1612	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin68	GCA_009779455.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin68	o__Clostridiales (UID1212)	172	263	78.53	1.07	0	73.18	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU053;s__DTU053 sp009779455	p__Bacillota_A	GCA_009779455.1	95	100	GCA_009779455.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1613	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin69	GCA_009779845.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin69	o__Clostridiales (UID1212)	172	263	91.95	0.67	0	88.6	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRAB01;s__WRAB01 sp009779845	p__Bacillota_A	GCA_009779845.1	95	100	GCA_009779845.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1614	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin30	GCA_009779995.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin30	o__Clostridiales (UID1212)	172	263	72.22	0.89	0	67.77	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__WRMQ01;s__WRMQ01 sp009779995	p__Bacillota_A	GCA_009779995.1	95	100	GCA_009779995.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1615	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin5	GCA_009780025.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin5	o__Clostridiales (UID1212)	172	263	86.91	1.64	70.59	78.71	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRAV01;s__WRAV01 sp009780025	p__Bacillota_A	GCA_009780025.1	95	100	GCA_009780025.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1616	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin4	GCA_009780175.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin4	o__Clostridiales (UID1212)	172	263	86.24	1.34	20	79.54	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRAB01;s__WRAB01 sp009780175	p__Bacillota_A	GCA_009780175.1	95	100	GCA_009780175.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1617	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin3	GCA_009780235.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin3	o__Clostridiales (UID1212)	172	263	88.42	0	0	88.42	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRAB01;s__WRAB01 sp009780235	p__Bacillota_A	GCA_009780235.1	95	100	GCA_009780235.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1618	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin24	GCA_009780275.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin24	o__Clostridiales (UID1212)	172	263	94.41	0.67	0	91.06	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__WRAI01;s__WRAI01 sp009780275	p__Bacillota_A	GCA_009780275.1	95	100	GCA_009780275.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1619	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin2	GCA_009780345.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin2	o__Clostridiales (UID1212)	172	263	92.82	0	0	92.82	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__WRAG01;g__WRAG01;s__WRAG01 sp009780345	p__Bacillota_A	GCA_009780345.1	95	100	GCA_009780345.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1620	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin140	GCA_009780435.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin140	o__Clostridiales (UID1212)	172	263	94.07	1.01	0	89.02	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRAB01;s__WRAB01 sp009780435	p__Bacillota_A	GCA_009780435.1	95	99.99	GCA_009780435.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
